label	x	y	start	end	duration
fixation	73.32238586325394	102.23088672286586	1565625306850000.0	1565625307050000.0	200.0
saccade	73.11850786209106	102.55284905433656	1565625307030000.0	1565625307040000.0	10.0
fixation	72.60134302079679	102.16187000274658	1565625307050000.0	1565625307480000.0	430.0
saccade	27.32886224985123	102.22084522247314	1565625307600000.0	1565625307750000.0	150.0
fixation	27.22038527329763	101.84317926565808	1565625307760000.0	1565625307880000.0	120.0
saccade	9.067519754171373	14.682544767856598	1565625308120000.0	1565625308200000.0	80.0
fixation	9.135006474597112	13.427908612149103	1565625308220000.0	1565625308360000.0	140.0
saccade	6.848984584212303	9.473214298486711	1565625308830000.0	1565625309080000.0	250.0
fixation	5.840692886461813	7.32828713953495	1565625309090000.0	1565625309210000.0	120.0
saccade	5.892447754740715	7.426286861300468	1565625309240000.0	1565625309270000.0	30.0
fixation	5.259948650685449	6.862772434639433	1565625309280000.0	1565625309540000.0	260.0
saccade	5.02607561647892	6.819133274257183	1565625309510000.0	1565625309530000.0	20.0
fixation	5.055714604493819	6.597772456313433	1565625309540000.0	1565625309740000.0	200.0
saccade	7.147026993334293	6.630723550915718	1565625312230000.0	1565625314680000.0	2450.0
fixation	6.693254893316943	7.021053661318387	1565625314690000.0	1565625314870000.0	180.0
saccade	10.489404201507568	18.785693496465683	1565625316040000.0	1565625317450000.0	1410.0
fixation	9.808970396133029	18.60265907119302	1565625317460000.0	1565625317640000.0	180.0
saccade	9.630776196718218	18.276192992925644	1565625317620000.0	1565625317630000.0	10.0
fixation	9.164501880021657	17.78919394401943	1565625317640000.0	1565625317820000.0	180.0
saccade	7.189710438251495	13.467426598072052	1565625318240000.0	1565625318510000.0	270.0
fixation	6.99490896965328	10.551448029122854	1565625318520000.0	1565625318720000.0	200.0
saccade	7.3448605835437775	11.795434728264807	1565625318760000.0	1565625318800000.0	40.0
fixation	7.083012564824179	11.465801355930473	1565625318810000.0	1565625318940000.0	130.0
saccade	7.891948893666267	12.06560768187046	1565625318920000.0	1565625318940000.0	20.0
fixation	10.145104099065064	12.925854735076427	1565625318950000.0	1565625319160000.0	210.0
saccade	6.778720021247864	12.004010751843452	1565625319440000.0	1565625319610000.0	170.0
fixation	3.779025777028157	13.136190204666212	1565625319620000.0	1565625319750000.0	130.0
saccade	10.595072060823439	14.449745416641235	1565625319920000.0	1565625320030000.0	110.0
fixation	10.435340793005057	15.238251058118687	1565625320040000.0	1565625320340000.0	300.0
saccade	10.01838967204094	15.28237909078598	1565625320320000.0	1565625320330000.0	10.0
fixation	9.89084184790651	14.93588096151749	1565625320340000.0	1565625320460000.0	120.0
saccade	22.464362531900406	11.851468309760095	1565625320520000.0	1565625320580000.0	60.0
fixation	22.626753617078066	12.066730344668029	1565625320600000.0	1565625320760000.0	160.0
saccade	19.614076614379886	13.066620007157324	1565625320740000.0	1565625320770000.0	30.0
fixation	10.658896291120486	16.90407805144787	1565625320780000.0	1565625321020000.0	240.0
saccade	11.549079790711405	18.345917016267773	1565625321020000.0	1565625321040000.0	20.0
fixation	12.235770436624687	16.970558650791645	1565625321050000.0	1565625321170000.0	120.0
saccade	22.06446155905724	11.005105078220367	1565625321280000.0	1565625321360000.0	80.0
fixation	22.393014654517174	10.053788853639906	1565625321370000.0	1565625321610000.0	240.0
saccade	25.16951560974121	10.954366624355316	1565625321580000.0	1565625321620000.0	40.0
fixation	26.094218737938824	10.166631178820834	1565625321630000.0	1565625321810000.0	180.0
saccade	21.782035380601886	10.752741992473602	1565625321780000.0	1565625321820000.0	40.0
fixation	20.288368043574422	11.232167787172578	1565625321830000.0	1565625321940000.0	110.0
saccade	52.67510116100311	12.87274733185768	1565625322500000.0	1565625322780000.0	280.0
fixation	52.15007754472585	13.216526347857256	1565625322790000.0	1565625322930000.0	140.0
saccade	51.83250606060028	13.756720721721651	1565625322900000.0	1565625322920000.0	20.0
fixation	52.13831825689836	13.956741920926357	1565625322930000.0	1565625323040000.0	110.0
saccade	56.31489753723145	12.946887314319609	1565625323120000.0	1565625323170000.0	50.0
fixation	56.021028260389954	13.117771254231535	1565625323180000.0	1565625323300000.0	120.0
saccade	9.81195755302906	13.52035626769066	1565625323370000.0	1565625323480000.0	110.0
fixation	8.888765051960945	12.117453152313828	1565625323490000.0	1565625323660000.0	170.0
saccade	8.925822749733927	12.108593434095384	1565625323650000.0	1565625323670000.0	20.0
fixation	8.797325421538618	11.487177718016836	1565625323680000.0	1565625323870000.0	190.0
saccade	9.235652163624763	16.122088581323627	1565625323890000.0	1565625323940000.0	50.0
fixation	8.767126562694706	16.044972588618595	1565625323950000.0	1565625324140000.0	190.0
saccade	5.556636676192284	27.986449003219604	1565625324190000.0	1565625324240000.0	50.0
