	right_pupil_validity	right_gaze_point_on_display_area	left_gaze_origin_validity	system_time_stamp	right_gaze_origin_in_user_coordinate_system	left_gaze_point_in_user_coordinate_system	left_gaze_origin_in_user_coordinate_system	left_pupil_validity	right_pupil_diameter	left_gaze_origin_in_trackbox_coordinate_system	right_gaze_point_in_user_coordinate_system	left_pupil_diameter	right_gaze_origin_validity	left_gaze_point_validity	right_gaze_point_validity	left_gaze_point_on_display_area	right_gaze_origin_in_trackbox_coordinate_system	device_time_stamp
3364	0	(nan, nan)	0	1565623388110000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985081038.0
3365	0	(nan, nan)	0	1565623388120000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985092141.0
3366	0	(nan, nan)	0	1565623388130000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985103244.0
3367	0	(nan, nan)	0	1565623388140000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985114347.0
3368	0	(nan, nan)	0	1565623388160000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985136287.0
3369	0	(nan, nan)	0	1565623388180000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985147390.0
3370	0	(nan, nan)	0	1565623388200000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985171809.0
3371	0	(nan, nan)	0	1565623388210000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985182912.0
3372	0	(nan, nan)	0	1565623388220000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985194015.0
3373	0	(nan, nan)	0	1565623388230000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985205118.0
3374	0	(nan, nan)	0	1565623388240000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985216221.0
3375	0	(nan, nan)	0	1565623388260000.0	(nan, nan, nan)	(nan, nan, nan)	(nan, nan, nan)	0.0		(nan, nan, nan)	(nan, nan, nan)		0.0	0.0	0.0	(nan, nan)	(nan, nan, nan)	1985227325.0
