[BeGaze]
Converted from:	E:\SMI from 3-25-15\MT430PN56168-[631e0eca-3d36-4d8c-a365-e1f44a5da588]\MT430PN56168-eye_data.idf
Date:	09.06.2015 15:27:25
Version:	BeGaze 3.5.90
Sample Rate:	120
Subject:	MT430PN56168
Description:	Run67
Stimulus:	mt430pn56168-scrrec.avi

Table Header for Fixations:
Event Type,Trial,Number,Start,End,Duration,Location X,Location Y,Dispersion X,Dispersion Y,AOI hit,Image,Plane,Avg. Pupil Size X,Avg. Pupil Size Y

Table Header for Saccades:
Event Type,Trial,Number,Start,End,Duration,Start Loc.X,Start Loc.Y,End Loc.X,End Loc.Y,Amplitude,Peak Speed,Peak Speed At,Average Speed,Peak Accel.,Peak Decel.,Average Accel.

Table Header for Blinks:
Event Type,Trial,Number,Start,End,Duration

Table Header for User Events:
Event Type,Trial,Number,Start,Description

UserEvent,1,1,167531284088,# Message: MT430PN56168-scrrec.avi
Fixation L,1,30,167546447374,167546806237,358863,646.89,704.91,17,46,-,-,-1,16.65,16.65
Fixation R,1,30,167546447374,167546806237,358863,646.89,704.91,17,46,-,-,-1,16.65,16.65
Saccade L,1,28,167546806237,167546839529,33292,649.81,704.46,838.16,614.55,3.69,179.98,0.75,110.82,10341.80,-6067.29,6008.30
Saccade R,1,28,167546806237,167546839529,33292,649.81,704.46,838.16,614.55,3.69,179.98,0.75,110.82,10341.80,-6067.29,6008.30
Fixation L,1,31,167546839529,167547031410,191881,882.50,603.02,52,17,-,-,-1,15.99,15.99
Fixation R,1,31,167546839529,167547031410,191881,882.50,603.02,52,17,-,-,-1,15.97,15.97
Saccade L,1,29,167547031410,167547064617,33207,887.99,611.03,874.98,902.83,5.20,294.09,0.75,156.67,13543.80,-12464.76,9997.60
Saccade R,1,29,167547031410,167547064617,33207,887.99,611.03,874.98,902.83,5.20,294.09,0.75,156.67,13543.80,-12464.76,9997.60
Fixation L,1,32,167547064617,167547306668,242051,875.35,958.98,6,67,-,-,-1,16.25,16.25
Fixation R,1,32,167547064617,167547306668,242051,875.35,958.98,6,67,-,-,-1,15.86,15.86
Saccade L,1,30,167547306668,167547356604,49936,876.85,961.94,882.85,639.74,5.99,190.78,0.33,119.89,10896.10,-6265.35,4957.37
Saccade R,1,30,167547306668,167547356604,49936,876.85,961.94,882.85,639.74,5.99,190.78,0.33,119.89,10896.10,-6265.35,4957.37
Fixation L,1,33,167547356604,167547923870,567266,892.75,597.77,17,60,-,-,-1,16.61,16.61
Fixation R,1,33,167547356604,167547923870,567266,892.75,597.77,17,60,-,-,-1,16.34,16.34
Saccade L,1,31,167547923870,167547948963,25093,900.64,648.78,1003.03,779.17,2.57,157.97,0.67,102.46,6881.95,-6030.99,4937.16
Saccade R,1,31,167547923870,167547948963,25093,900.64,648.78,1003.03,779.17,2.57,157.97,0.67,102.46,6881.95,-6030.99,4937.16
Fixation L,1,34,167547948963,167548099075,150112,1033.46,797.62,53,35,-,-,-1,17.20,17.20
Fixation R,1,34,167547948963,167548099075,150112,1033.46,797.62,53,35,-,-,-1,16.86,16.86
Saccade L,1,32,167548099075,167548107539,8464,1057.03,814.82,1060.97,821.66,0.16,22.17,0.00,18.43,34.88,-561.90,373.14
Saccade R,1,32,167548099075,167548107539,8464,1057.03,814.82,1060.97,821.66,0.16,22.17,0.00,18.43,34.88,-561.90,373.14
Fixation L,1,35,167548107539,167548249231,141692,1067.09,846.79,11,41,-,-,-1,17.30,17.30
Fixation R,1,35,167548107539,167548249231,141692,1067.09,846.79,11,41,-,-,-1,17.23,17.23
Blink L,1,4,167548507863,167548641350,133487
Blink R,1,4,167548507863,167548649567,141704
Saccade L,1,33,167548641350,167548657927,16577,1426.18,762.84,1195.96,668.96,15.66,2200.70,0.00,944.59,-11665.41,-112664.34,47391.74
Saccade R,1,33,167548649567,167548657927,8360,1392.32,752.09,1195.96,668.96,7.53,2200.70,1.00,900.87,-19019.21,-112664.34,59300.51
Fixation L,1,36,167548657927,167548849801,191874,1189.40,682.34,21,47,-,-,-1,16.39,16.39
Fixation R,1,36,167548657927,167548849801,191874,1189.40,682.34,21,47,-,-,-1,16.63,16.63
Saccade L,1,34,167548849801,167548874804,25003,1176.40,698.05,992.79,660.26,2.93,214.40,0.34,117.04,12530.15,-9984.15,9098.63
Saccade R,1,34,167548849801,167548874804,25003,1176.40,698.05,992.79,660.26,2.93,214.40,0.34,117.04,12530.15,-9984.15,9098.63
Fixation L,1,37,167548874804,167549125081,250277,981.49,628.97,18,37,-,-,-1,17.03,17.03
Fixation R,1,37,167548874804,167549125081,250277,981.49,628.97,18,37,-,-,-1,17.02,17.02
Saccade L,1,35,167549125081,167549133546,8465,974.30,631.35,875.43,562.11,0.77,170.66,1.00,91.48,10061.43,-7236.53,6047.16
Saccade R,1,35,167549125081,167549133546,8465,974.30,631.35,875.43,562.11,0.77,170.66,1.00,91.48,10061.43,-7236.53,6047.16
Fixation L,1,38,167549133546,167549492153,358607,854.27,521.91,30,60,-,-,-1,16.66,16.66
Fixation R,1,38,167549133546,167549492153,358607,854.27,521.91,30,60,-,-,-1,16.40,16.40
Saccade L,1,36,167549492153,167549542191,50038,844.81,576.02,925.17,1107.76,10.65,400.69,0.84,212.75,10798.82,-19538.11,9914.99
Saccade R,1,36,167549492153,167549542191,50038,844.81,576.02,925.17,1107.76,10.65,400.69,0.84,212.75,10798.82,-19538.11,9914.99
Fixation L,1,39,167549542191,167549834184,291993,947.70,1115.89,31,20,-,-,-1,17.28,17.28
Fixation R,1,39,167549542191,167549834184,291993,947.70,1115.89,31,20,-,-,-1,17.17,17.17
