Sc_id	abspathanglesrate	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic	single_doubleclicrate	single_fixationrate	single_leftclicrate	single_longestfixation	single_meanfixationduration	single_numdoubleclic	single_numevents	single_numfixations	single_numleftclic	single_numrightclic	single_numtransfrom_single	single_numtransto_single	single_proportionnum	single_proportiontime	single_proptransfrom_single	single_proptransto_single	single_rightclicrate	single_stddevfixationduration	single_timetofirstdoubleclic	single_timetofirstfixation	single_timetofirstleftclic	single_timetofirstrightclic	single_timetolastdoubleclic	single_timetolastfixation	single_timetolastleftclic	single_timetolastrightclic	single_totaltimespent
Event_59	0.00403617702127	0.0	624.305	2.715	0.411742201859	0.00305008561644	10.3163841808	0.0	0.000107020547945	18688	813.88970829	100.0	630.555	2.875	0.023125	8.1388970829	1.34692993167	622.786499776	256.280701754	137.404254792	2.5659164059	0.00280155799264	1.76142798296	174.221596996	40.4571428571	3.29666065941	616.205	2.295	0.0	1.65960551927	0	2	57	0	2	0	35	2245	1	0.00518399716731	0.0	620.385	2.83	1.11813533068	1.24147392659	188.127213265	185.56841242	0.0849696656593	0.00276857078571	1.03613469854	228.700069399	25.6105939214	1.97086352534	75.4280761735	14608	7694.63826833	96.8785390627	6097.75589485	1416.0	-1	-1	810058	-1	0.0	0.00403050108932	5.35102739726e-05	858	248.108108108	0	1	37	1	0	31	31	0.649122807018	0.491224315068	1.0	1.0	0.0	184.524732426	-1	117	17886	-1	-1	17114	-1	-1	9180
Event_69	0.00369687669526	0.0	619.61	2.59	0.367689964289	0.00304346061762	11.9299533022	0.0	8.11589498032e-05	24643	599.240838126	100.0	629.93	2.795	0.0211111111111	7.33443108432	1.23110989731	621.922235897	238.44	122.445726891	2.55332649573	0.00293803602058	1.48115962416	118.5451435	36.5609756098	2.77932814499	614.76	2.13	0.0	1.36892118362	0	2	75	0	2	0	41	2960	1	0.00438764162495	0.0	622.325	2.725	1.03464982239	1.65853201548	201.588840317	149.767456891	0.0907911593106	0.00279882419997	1.01845041018	133.063500604	18.868026898	1.41410739832	91.1021324013	17883	9060.98378996	108.124652564	4860.3508835	1499.0	-1	-1	595997	-1	0.0	0.00495340441609	4.05794749016e-05	833	201.881355932	0	1	59	1	0	51	51	0.786666666667	0.483342125553	1.0	1.0	0.0	137.598627292	-1	100	23949	-1	-1	24043	-1	-1	11911
Event_38	0.00416364511915	0.0	620.395	2.805	0.538287179833	0.00323240005704	6.80559085133	0.0	9.5070589913e-05	21037	539.455955946	117.0	639.69	3.4	0.02125	8.17357509009	1.30732242346	622.562586049	157.529411765	169.01414033	2.6825676916	0.00353926319028	1.65119084353	164.727499572	44.9714285714	3.35160876593	616.57	2.27	0.0	1.48134759511	0	2	68	0	2	0	35	2527	1	0.00518032968926	0.0	623.115	2.65	1.1906070589	4.06025239881	75.8245166882	184.465721735	0.130160349588	0.00310421811622	1.15251223918	132.936762462	21.6557093603	1.59226453599	87.5906023716	10712	11323.9474021	108.978595673	5765.46248503	1574.0	-1	-1	791578	-1	0.0	0.00672074159907	4.75352949565e-05	391	148.793103448	0	1	58	1	0	51	50	0.852941176471	0.410229595475	1.0	1.0	0.0	70.6649516394	-1	142	20451	-1	-1	19929	-1	-1	8630
Event_39	0.00420243155916	0.0	628.86	2.685	0.452074386198	0.00320512820513	7.3949044586	0.0	0.000156347717323	12792	574.906891884	100.0	634.26	2.855	0.024375	6.76274557311	1.34393761262	628.591312336	198.219512195	144.573388706	2.60602034121	0.0036587027284	1.49024153217	195.869327034	49.9545454545	3.51957465196	626.74	2.01	0.0	1.29057552638	0	2	41	0	2	0	22	1537	1	0.0045434193054	0.0	628.25	2.74	1.10482539527	0.631070116034	133.22903441	138.907035055	0.103474086857	0.00341259070671	1.06198658789	153.502710915	22.2571064579	1.54351385071	53.7575045048	8127	5782.93554825	58.1194197547	4309.12519476	1099.0	-1	-1	932604	-1	0.0	0.0064416387529	7.81738586617e-05	291	155.24	0	1	25	1	0	20	20	0.609756097561	0.303392745466	1.0	1.0	0.0	54.3777528039	-1	92	11099	-1	-1	11726	-1	-1	3881
Event_33	0.00382409916256	0.0	622.28	2.595	0.502818066998	0.0030097237228	11.84	0.0	0.000154344806297	12958	909.553098081	125.0	669.41	2.95	0.03125	10.3140710304	1.30401781443	618.644690178	197.333333333	171.460960846	2.62358272907	0.00421416187103	1.78520199205	258.370961352	50.0	3.90592544095	605.86	2.17	0.0	1.75660284534	0	2	39	0	2	0	13	1557	1	0.0050974281298	0.0	620.475	2.88	1.22983819921	12.5268472838	123.620244751	211.999380316	0.101414152797	0.00401187078575	1.21908081385	311.596201748	30.9892454463	2.65807168629	49.5526769485	7696	6515.51651216	66.052473706	3358.82249758	650.0	-1	-1	770026	-1	0.0	0.00528065714845	7.71724031486e-05	691	189.37037037	0	1	27	1	0	24	23	0.692307692308	0.394582497299	1.0	1.0	0.0	126.918856012	-1	108	11873	-1	-1	12733	-1	-1	5113
Event_31	0.00485648702275	0.0	625.055	2.775	0.462572185114	0.00384319754035	5.42956521739	0.0	0.000384319754035	5204	528.753146409	116.0	630.5	2.825	0.018125	7.34625245123	1.33016623507	624.841053055	156.1	126.696086912	2.6228778135	0.00364852150538	1.87382658861	193.575839136	47.9166666667	3.53454349713	623.09	2.345	0.0	1.469070005	0	2	20	0	2	0	12	626	1	0.00648133716276	0.0	624.18	2.73	1.09094706879	0.77345954664	79.8609976607	163.02605955	0.101708423466	0.00323563732355	0.955426433379	185.600459136	28.5798986363	1.76358954678	25.2731584664	3122	2407.22565133	33.728878595	2322.91006963	575.0	-1	-1	888192	-1	0.0	0.00640614990391	0.000192159877018	341	156.1	0	1	20	1	0	19	18	1.0	0.599923136049	1.0	1.0	0.0	79.8609976607	-1	224	4645	-1	-1	4938	-1	-1	3122
Event_74	0.00383437093633	0.0	626.79	2.58	0.3850402275	0.0033148815654	8.71935356721	0.0	6.43666323378e-05	31072	830.737734074	117.0	635.39	2.88	0.03875	7.10032251345	1.16805464445	626.420161993	214.766990291	117.293823028	2.52773482167	0.0029179755076	1.5762559105	121.483472907	36.768115942	2.7962068526	617.31	2.06	0.0	1.28600087315	0	2	103	0	2	0	69	3732	1	0.00512364337541	0.0	625.725	2.665	1.01993675081	0.991958816005	154.833699775	157.409449881	0.111635450368	0.00326573079454	1.08852690129	134.714096159	18.9101162838	1.30552574816	119.141573734	22121	11963.9699489	159.201846961	8382.3596306	2537.0	-1	-1	684248	-1	0.0	0.00540540540541	3.21833161689e-05	583	185.0	0	1	71	1	0	59	59	0.68932038835	0.422727857878	1.0	1.0	0.0	115.468115574	-1	142	30253	-1	-1	30380	-1	-1	13135
Event_34	0.00456592465594	0.0	599.005	2.715	0.460670301092	0.00331330623785	8.39106145251	0.0	8.83548330094e-05	22636	808.287034416	100.0	618.79	2.805	0.025	9.73839800501	1.39667933124	600.385400297	200.266666667	140.91530994	2.51188472943	0.00324902824298	1.68120911752	159.844154276	41.6279069767	3.31159243178	587.62	2.18	0.0	1.25756628578	0	2	75	0	2	0	43	2719	1	0.00542181770538	0.0	599.555	2.675	1.1844716195	4.06428904557	189.650627102	163.157490998	0.0936951864742	0.00328333001172	1.09979052894	154.979421672	21.8425352355	1.70044870047	103.354270512	15020	10427.7329355	122.728265579	6873.29863385	1790.0	-1	-1	251027	-1	0.0	0.00569168435269	4.41774165047e-05	916	175.694915254	0	1	59	1	0	53	53	0.786666666667	0.457943099488	1.0	1.0	0.0	135.215696681	-1	117	21966	-1	-1	20587	-1	-1	10366
Event_14	0.00459260234163	0.0	626.365	2.735	0.503515934696	0.00340657468915	8.76470588235	0.0	0.000113552489638	17613	521.746165471	100.0	643.55	2.82	0.03875	6.79144725733	1.37100856005	601.216536984	181.283333333	150.312307759	2.54011767531	0.00357158687943	1.85904558503	151.952772477	42.7931034483	3.20481955823	584.97	2.19	0.0	1.50005066973	0	2	60	0	2	0	29	2116	1	0.0061218783814	0.0	587.16	2.71	1.15136743083	11.6877511749	122.650819183	160.261391979	0.101155734103	0.00332016509051	1.09824262458	124.57144913	19.8303146548	1.41135420104	80.8895050432	10877	8868.4261578	107.824643932	4406.63040183	1241.0	-1	-1	139233	-1	0.0	0.00558472020552	5.67762448192e-05	841	179.06	0	1	50	1	0	45	45	0.833333333333	0.508317719866	1.0	1.0	0.0	124.57608281	-1	316	16844	-1	-1	17497	-1	-1	8953
Event_15	0.00371285502192	0.0	587.56	2.795	0.410384368545	0.00277744947406	10.2238095238	0.0	0.000177284008982	16922	539.139845936	83.0	719.52	2.91	0.035	6.4956607944	1.36584636263	589.673625687	182.723404255	150.967919229	2.58880809595	0.00360476947093	1.96195861786	144.922707566	40.0	3.18796734639	575.85	2.13	0.0	1.44347213292	0	3	47	0	3	0	21	2033	1	0.00521735833849	0.0	719.52	2.56	1.14705965066	19.5713644085	101.578348884	171.4162976	0.103817345152	0.00393774792809	1.17885325557	122.507497253	16.7511193656	1.41494927392	62.8289326809	8588	6944.52428452	88.2881378039	3043.3768589	840.0	-1	-1	46425	-1	0.0	0.00583712984055	0.000118189339322	383	171.317073171	0	2	41	2	0	38	37	0.872340425532	0.415080959697	1.0	1.0	0.0	84.167226111	-1	75	15219	-1	-1	14149	-1	-1	7024
