right_pupil_validity;right_gaze_point_on_display_area;left_gaze_origin_validity;system_time_stamp;right_gaze_origin_in_user_coordinate_system;left_gaze_point_in_user_coordinate_system;left_gaze_origin_in_user_coordinate_system;left_pupil_validity;right_pupil_diameter;left_gaze_origin_in_trackbox_coordinate_system;right_gaze_point_in_user_coordinate_system;left_pupil_diameter;right_gaze_origin_validity;left_gaze_point_validity;right_gaze_point_validity;left_gaze_point_on_display_area;right_gaze_origin_in_trackbox_coordinate_system;device_time_stamp 
1;(0.10078039020299911, 0.7527064681053162);1;1.56466617154e+15;(-13.825324058532715, 96.614013671875, 645.922607421875);(-261.86309814453125, 101.66805267333984, 28.958263397216797);(-75.89717102050781, 90.79474639892578, 640.7494506835938);1;3.18879699707;(0.662322461605072, 0.234488844871521, 0.5031713843345642);(-238.33409118652344, 94.89909362792969, 26.494592666625977);3.53060913086;1;1;1;(0.06136834993958473, 0.7312559485435486);(0.5239912867546082, 0.22020089626312256, 0.5065088868141174);493210139
1;(0.10144197195768356, 0.7553520798683167);1;1.56466617155e+15;(-13.955839157104492, 96.62509155273438, 645.7406616210938);(-262.53033447265625, 101.77433013916016, 28.996944427490234);(-75.95523071289062, 90.79901885986328, 640.6239013671875);1;3.1890411377;(0.6624841690063477, 0.23442265391349792, 0.5029392242431641);(-237.9391632080078, 94.06428527832031, 26.190732955932617);3.53448486328;1;1;1;(0.06025071069598198, 0.7309191226959229);(0.524287760257721, 0.22008681297302246, 0.5061579346656799);493221242
1;(0.09831810742616653, 0.7561179399490356);1;1.56466617156e+15;(-14.03836441040039, 96.60794830322266, 645.6199340820312);(-259.2437744140625, 100.55329895019531, 28.552520751953125);(-76.05482482910156, 90.78482055664062, 640.4590454101562);1;3.18408203125;(0.6627487540245056, 0.23439423739910126, 0.5026342868804932);(-239.80413818359375, 93.8226089477539, 26.102758407592773);3.55805969238;1;1;1;(0.06575585901737213, 0.7347885966300964);(0.5244758129119873, 0.22008322179317474, 0.5059177279472351);493232345
1;(0.09787584841251373, 0.7555364370346069);1;1.56466617158e+15;(-14.202789306640625, 96.4727554321289, 645.2119140625);(-258.6961975097656, 101.50146484375, 28.89763641357422);(-76.19728088378906, 90.64509582519531, 639.9524536132812);1;3.18432617188;(0.6632002592086792, 0.2345934510231018, 0.5016324520111084);(-240.06813049316406, 94.00608825683594, 26.16954803466797);3.55325317383;1;1;1;(0.06667303293943405, 0.7317838072776794);(0.5248598456382751, 0.22029973566532135, 0.5050780177116394);493243449
1;(0.09668491035699844, 0.754400908946991);1;1.56466617159e+15;(-14.294097900390625, 96.3599624633789, 645.0693359375);(-256.4277038574219, 100.53750610351562, 28.54678726196289);(-76.23670959472656, 90.61870574951172, 639.8792114257812);1;3.18939208984;(0.6633075475692749, 0.2346404492855072, 0.5014902353286743);(-240.7790985107422, 94.36439514160156, 26.29996681213379);3.56039428711;1;1;1;(0.07047288119792938, 0.734838604927063);(0.5250697135925293, 0.22056815028190613, 0.504766583442688);493254552
1;(0.09724681079387665, 0.7528474926948547);1;1.5646661716e+15;(-14.371665954589844, 96.23936462402344, 644.9764404296875);(-256.7559509277344, 100.74797058105469, 28.623409271240234);(-76.32984924316406, 90.46517181396484, 639.7288818359375);1;3.1902923584;(0.6635563969612122, 0.2350316047668457, 0.501173734664917);(-240.4436492919922, 94.8546142578125, 26.47837257385254);3.55284118652;1;1;1;(0.06992305815219879, 0.7341716289520264);(0.5252470970153809, 0.22088174521923065, 0.5045506358146667);493265655
1;(0.09110972285270691, 0.7564589977264404);1;1.56466617161e+15;(-14.505145072937012, 95.99695587158203, 644.8011474609375);(-263.8761291503906, 99.1270980834961, 28.0334415435791);(-76.50406646728516, 90.16220092773438, 639.453369140625);1;3.19110107422;(0.6640208959579468, 0.23581302165985107, 0.500588595867157);(-244.1074981689453, 93.7149658203125, 26.063575744628906);3.55125427246;1;1;1;(0.05799643695354462, 0.7393081784248352);(0.5255535840988159, 0.22151751816272736, 0.5041385293006897);493276758
1;(0.08774969726800919, 0.7558847069740295);1;1.56466617162e+15;(-14.567763328552246, 95.83500671386719, 644.6883544921875);(-263.8761291503906, 99.1270980834961, 28.0334415435791);(-76.50406646728516, 90.16220092773438, 639.453369140625);1;3.19952392578;(0.6640208959579468, 0.23581302165985107, 0.500588595867157);(-246.1134490966797, 93.89620971679688, 26.129531860351562);3.55125427246;1;1;1;(0.05799643695354462, 0.7393081784248352);(0.5256994962692261, 0.22194470465183258, 0.5038706064224243);493287861
1;(0.08473746478557587, 0.7580657601356506);1;1.56466617163e+15;(-14.606719017028809, 95.71419525146484, 644.5869140625);(-267.4837951660156, 99.15594482421875, 28.043933868408203);(-76.53865814208984, 90.01044464111328, 639.3026123046875);1;3.18769836426;(0.6641398072242737, 0.23619991540908813, 0.5002583265304565);(-247.9117431640625, 93.20792388916016, 25.8790340423584);3.55108642578;1;1;1;(0.051953475922346115, 0.739216685295105);(0.5257920026779175, 0.22225594520568848, 0.5036362409591675);493298964
1;(0.08581184595823288, 0.7586594223976135);1;1.56466617164e+15;(-14.625951766967773, 95.54385375976562, 644.5236206054688);(-265.9372253417969, 101.54179382324219, 28.912336349487305);(-76.57379913330078, 89.78629302978516, 639.209716796875);1;3.18640136719;(0.6642457246780396, 0.23682621121406555, 0.5000218749046326);(-247.2703399658203, 93.02058410644531, 25.810827255249023);3.55046081543;1;1;1;(0.05454407259821892, 0.7316561341285706);(0.5258396863937378, 0.22273015975952148, 0.5034618973731995);493310067
1;(0.08483896404504776, 0.7597305178642273);1;1.56466617165e+15;(-14.600382804870605, 95.4743423461914, 644.3822631835938);(-267.7834167480469, 102.6657485961914, 29.32141876220703);(-76.54444885253906, 89.77067565917969, 639.1445922851562);1;3.1700592041;(0.6641977429389954, 0.23684564232826233, 0.4998825788497925);(-247.85118103027344, 92.68263244628906, 25.687833786010742);3.54020690918;1;1;1;(0.051451534032821655, 0.7280942797660828);(0.525790810585022, 0.22287358343601227, 0.5031607747077942);493321170
1;(0.08339797705411911, 0.761134922504425);1;1.56466617166e+15;(-14.556456565856934, 95.44738006591797, 644.2081298828125);(-267.7533874511719, 101.97525024414062, 29.070058822631836);(-76.50025939941406, 89.74588775634766, 638.951171875);1;3.17456054688;(0.6641509532928467, 0.23683878779411316, 0.49948474764823914);(-248.71144104003906, 92.23944854736328, 25.526533126831055);3.53817749023;1;1;1;(0.051501866430044174, 0.7302824854850769);(0.5257022380828857, 0.22287744283676147, 0.502806544303894);493332274
1;(0.08412369340658188, 0.7546567320823669);1;1.56466617168e+15;(-14.474247932434082, 95.42467498779297, 643.7767333984375);(-268.2619934082031, 100.10895538330078, 28.390792846679688);(-76.38787078857422, 89.75176239013672, 638.456298828125);1;3.17158508301;(0.664031445980072, 0.23661528527736664, 0.4984866976737976);(-248.27818298339844, 94.28369903564453, 26.27059555053711);3.52978515625;1;1;1;(0.05064995959401131, 0.7361966371536255);(0.5255412459373474, 0.22275659441947937, 0.5019428730010986);493343377
1;(0.08640358597040176, 0.7526950240135193);1;1.56466617169e+15;(-14.423312187194824, 95.46366119384766, 643.627685546875);(-266.5183410644531, 98.44023132324219, 27.783432006835938);(-76.38382720947266, 89.76333618164062, 638.37451171875);1;3.1827545166;(0.6640439629554749, 0.23654663562774658, 0.4983281195163727);(-246.91705322265625, 94.9027328491211, 26.495901107788086);3.5378112793;1;1;1;(0.05357063189148903, 0.7414848208427429);(0.5254350304603577, 0.2225767821073532, 0.5016573667526245);493354480
1;(0.08997675776481628, 0.7499061226844788);1;1.5646661717e+15;(-14.378944396972656, 95.5171890258789, 643.5470581054688);(-265.486572265625, 98.49172973632812, 27.802213668823242);(-76.34284210205078, 89.84764099121094, 638.265625);1;3.19299316406;(0.66398024559021, 0.23625065386295319, 0.4981275498867035);(-244.7838897705078, 95.78282928466797, 26.81621551513672);3.52786254883;1;1;1;(0.05529889464378357, 0.7413215041160583);(0.5253399610519409, 0.22238388657569885, 0.5015115737915039);493365583
1;(0.08934879302978516, 0.7557061910629272);1;1.56466617171e+15;(-14.286349296569824, 95.62267303466797, 643.3510131835938);(-264.7358093261719, 100.11360168457031, 28.392505645751953);(-76.23049926757812, 89.98468780517578, 638.0004272460938);1;3.18612670898;(0.6637980341911316, 0.23573274910449982, 0.4976176619529724);(-245.15879821777344, 93.95252227783203, 26.150041580200195);3.52781677246;1;1;1;(0.05655645951628685, 0.736181914806366);(0.5251427292823792, 0.2219872772693634, 0.5011507272720337);493376686
1;(0.08892939984798431, 0.7574542760848999);1;1.56466617172e+15;(-14.216878890991211, 95.65752410888672, 643.1674194335938);(-264.7358093261719, 100.11360168457031, 28.392505645751953);(-76.23049926757812, 89.98468780517578, 638.0004272460938);1;3.17488098145;(0.6637980341911316, 0.23573274910449982, 0.4976176619529724);(-245.40914916992188, 93.40087890625, 25.94927978515625);3.52781677246;1;1;1;(0.05655645951628685, 0.736181914806366);(0.5249969363212585, 0.2218044251203537, 0.5007949471473694);493387789
1;(0.08842197805643082, 0.7587116360664368);1;1.56466617173e+15;(-14.1447172164917, 95.66304016113281, 642.9915771484375);(-266.4156799316406, 99.34117126464844, 28.111373901367188);(-76.12120056152344, 90.01639556884766, 637.7590942382812);1;3.16477966309;(0.6636176109313965, 0.23553794622421265, 0.49712610244750977);(-245.71209716796875, 93.00413513183594, 25.804872512817383);3.52101135254;1;1;1;(0.05374259501695633, 0.7386296987533569);(0.5248451232910156, 0.22171159088611603, 0.500445544719696);493398892
1;(0.08923397958278656, 0.7560458183288574);1;1.56466617174e+15;(-13.97839641571045, 95.62586212158203, 642.6907958984375);(-265.9205322265625, 98.98634338378906, 27.98225975036621);(-75.88545227050781, 90.01466369628906, 637.3529663085938);1;3.15914916992;(0.663198709487915, 0.23537443578243256, 0.49627161026000977);(-245.2273406982422, 93.84538269042969, 26.111059188842773);3.52272033691;1;1;1;(0.054571982473134995, 0.7397540807723999);(0.5244905948638916, 0.22169086337089539, 0.4998326301574707);493409995
1;(0.08934561908245087, 0.7608580589294434);1;1.56466617175e+15;(-13.841729164123535, 95.56704711914062, 642.4608764648438);(-267.1883850097656, 100.48470306396484, 28.527626037597656);(-75.82499694824219, 89.99480438232422, 637.2825317382812);1;3.15798950195;(0.6630825400352478, 0.23540450632572174, 0.49611353874206543);(-245.1606903076172, 92.32681274414062, 25.55832290649414);3.52044677734;1;1;1;(0.05244826525449753, 0.7350057363510132);(0.524198591709137, 0.22176502645015717, 0.49935460090637207);493421099
1;(0.088792584836483, 0.7595325112342834);1;1.56466617176e+15;(-13.691110610961914, 95.48336791992188, 642.2476196289062);(-265.3238830566406, 100.81180572509766, 28.646656036376953);(-75.6556625366211, 89.92013549804688, 637.0494384765625);1;3.1633605957;(0.6627667546272278, 0.2355305254459381, 0.49559473991394043);(-245.4908447265625, 92.74508666992188, 25.71056365966797);3.53160095215;1;1;1;(0.05557134747505188, 0.7339692115783691);(0.5238749384880066, 0.22192028164863586, 0.4989018440246582);493432202
1;(0.0894014984369278, 0.7588738203048706);1;1.56466617178e+15;(-13.393808364868164, 95.31095123291016, 641.9600830078125);(-265.27008056640625, 100.30704498291016, 28.462905883789062);(-75.316650390625, 89.78719329833984, 636.7463989257812);1;3.16174316406;(0.6620907187461853, 0.23580259084701538, 0.4948827028274536);(-245.1273193359375, 92.95293426513672, 25.786222457885742);3.52827453613;1;1;1;(0.05566149204969406, 0.7355688214302063);(0.5232295393943787, 0.2223072201013565, 0.4982701539993286);493443305
1;(0.0902104526758194, 0.7561972737312317);1;1.56466617179e+15;(-13.190228462219238, 95.20281219482422, 641.8572998046875);(-265.0066833496094, 99.6469955444336, 28.22265625);(-75.20146179199219, 89.74439239501953, 636.6948852539062);1;3.17279052734;(0.6618473529815674, 0.23590973019599915, 0.49474266171455383);(-244.6443634033203, 93.79753875732422, 26.093645095825195);3.52366638184;1;1;1;(0.05610276386141777, 0.7376606464385986);(0.5227829813957214, 0.2225842922925949, 0.4980267286300659);493454408
