timestamp	pupil size	adjusted pupil size
1014877	3.082059	-0.917941
1014894	3.09462	-0.90538
1014910	3.117929	-0.882071
1014927	2.062577	-1.937423
1014944	3.01566	-0.98434
1014960	3.0009385	-0.9990615
1014977	2.126746	-1.873254
1014994	3.0356505	-0.9643495
1015010	3.0367985	-0.9632015
1015027	3.016129	-0.983871
1015044	3.1174465	-0.8825535
1015060	2.101104	-1.898896
1015477	3.1649495	-0.8350505
1015493	3.103768	-0.896232
1015510	3.1709635	-0.8290365
1015527	3.1558255	-0.8441745
1015543	3.047989	-0.952011
1015560	3.046475	-0.953525
1015577	3.0659125	-0.9340875
1015593	2.854753	-1.145247
1015610	2.408676	-1.591324
1015643	3.0919295	-0.9080705
1015660	3.1027335	-0.8972665
1015677	3.065634	-0.934366
1015693	3.044546	-0.955454
1015710	3.052226	-0.947774
1015727	3.1871545	-0.8128455
1015744	3.126319	-0.873681
1015760	3.2114825	-0.7885175
1015777	3.113066	-0.886934
1015793	3.065198	-0.934802
1015810	3.097628	-0.902372
1015827	3.092257	-0.907743
1015843	3.085378	-0.914622
1015860	3.09841	-0.90159
1015877	3.10315	-0.89685
1015893	3.157493	-0.842507
1015910	3.107794	-0.892206
1015927	3.1188955	-0.8811045
1015943	3.098161	-0.901839
1015960	3.102738	-0.897262
1015977	3.084897	-0.915103
1015993	3.065473	-0.934527
1016010	3.014742	-0.985258
1016027	3.0530735	-0.9469265
1016043	3.0329005	-0.9670995
1016060	3.079812	-0.920188
1016077	3.0679995	-0.9320005
1016093	3.0159675	-0.9840325
1016110	2.9394875	-1.0605125
1016127	3.048623	-0.951377
1016143	3.046447	-0.953553
1016160	2.9746315	-1.0253685
1016177	2.9868515	-1.0131485
1016193	2.9786385	-1.0213615
1016210	2.9811305	-1.0188695
1016227	2.862885	-1.137115
1016243	2.875712	-1.124288
1016260	2.987264	-1.012736
1016277	2.982847	-1.017153
1016293	2.985685	-1.014315
1016310	2.966193	-1.033807
1016326	2.957185	-1.042815
1016343	2.977284	-1.022716
1016360	2.891733	-1.108267
1016376	3.004049	-0.995951
1016393	3.041542	-0.958458
1016410	3.000428	-0.999572
1017326	3.0500625	-0.9499375
1017343	3.068687	-0.931313
1017359	3.118859	-0.881141
1017376	3.2188805	-0.7811195
1017392	3.1436165	-0.8563835
1017409	3.166645	-0.833355
1017426	3.0957335	-0.9042665
1017442	3.115116	-0.884884
1017459	3.107219	-0.892781
1017476	3.101578	-0.898422
1017492	3.065393	-0.934607
1017509	3.1286715	-0.8713285
1017526	2.998857	-1.001143
1017542	2.972349	-1.027651
1017576	3.0818065	-0.9181935
1017592	3.1035245	-0.8964755
1017609	3.0533185	-0.9466815
1017626	3.074764	-0.925236
1017642	3.0804625	-0.9195375
1017659	3.09625	-0.90375
1017676	3.088653	-0.911347
1017692	3.0684145	-0.9315855
1017709	3.066587	-0.933413
1017726	3.0860055	-0.9139945
1017742	3.059109	-0.940891
1017759	3.0506685	-0.9493315
1017776	3.100937	-0.899063
1017792	3.1041425	-0.8958575
1017809	3.062284	-0.937716
1018059	3.198635	-0.801365
1018125	3.175136	-0.824864
1019008	2.9552675	-1.0447325
1019025	2.8541415	-1.1458585
1019041	2.633847	-1.366153
1019058	3.028189	-0.971811
1019075	2.9448295	-1.0551705
1019091	2.945749	-1.054251
1019108	2.967202	-1.032798
1019125	2.982918	-1.017082
1019141	2.929555	-1.070445
1019158	2.9869815	-1.0130185
1019175	2.674291	-1.325709
1019191	2.713288	-1.286712
1019208	2.721562	-1.278438
1019225	3.011198	-0.988802
1019241	3.0205535	-0.9794465
1019258	2.9678715	-1.0321285
1019274	2.988829	-1.011171
1019291	2.960182	-1.039818
1019308	3.002746	-0.997254
1019324	2.990647	-1.009353
1019341	2.9739805	-1.0260195
1019358	2.9816665	-1.0183335
1019374	2.9919685	-1.0080315
1019391	2.86815	-1.13185
1019408	2.8505195	-1.1494805
1019424	3.0055945	-0.9944055
1019441	2.987381	-1.012619
1019458	2.9099595	-1.0900405
1019474	2.953758	-1.046242
1019491	2.95899	-1.04101
1019508	2.9249525	-1.0750475
1019524	2.857301	-1.142699
1019541	2.864167	-1.135833
1019558	2.849277	-1.150723
1019574	2.830081	-1.169919
1019591	2.8175405	-1.1824595
1019608	2.8640615	-1.1359385
1019624	2.829381	-1.170619
1019641	2.922343	-1.077657
1019658	2.9632935	-1.0367065
1019674	2.915293	-1.084707
1019691	2.9322955	-1.0677045
1019708	3.049608	-0.950392
1019724	3.013417	-0.986583
1019741	3.051785	-0.948215
1019758	2.9325455	-1.0674545
1019774	2.9421135	-1.0578865
1019791	2.932152	-1.067848
1019807	2.925983	-1.074017
1019824	2.91099	-1.08901
1019841	2.9017265	-1.0982735
1019857	2.932203	-1.067797
1019874	2.953557	-1.046443
1019891	2.922126	-1.077874
1019907	2.9272285	-1.0727715
1019924	2.90199	-1.09801
1019941	2.927682	-1.072318
1019957	2.927229	-1.072771
1019974	2.9023625	-1.0976375
1019991	2.923478	-1.076522
1020007	2.940676	-1.059324
1020024	2.9619305	-1.0380695
1020041	2.896448	-1.103552
1020057	2.918513	-1.081487
1020074	2.8744085	-1.1255915
1020091	2.87716	-1.12284
1020107	2.971452	-1.028548
1020124	2.992912	-1.007088
1020141	2.888528	-1.111472
1020157	2.975374	-1.024626
1020174	2.9063625	-1.0936375
1020191	2.9280315	-1.0719685
1020207	2.9086015	-1.0913985
1020224	2.8930475	-1.1069525
1020241	2.9472655	-1.0527345
1020257	2.8975315	-1.1024685
1020274	2.9470705	-1.0529295
1020291	2.9605185	-1.0394815
1020307	2.9138225	-1.0861775
1020324	2.9133725	-1.0866275
1020340	2.915879	-1.084121
1020357	2.9530155	-1.0469845
1020374	2.9318695	-1.0681305
1020390	2.97114	-1.02886
1020407	2.96349	-1.03651
1020424	2.9423355	-1.0576645
1020440	2.9642035	-1.0357965
1020457	2.931674	-1.068326
1020474	2.927369	-1.072631
1020490	2.9144495	-1.0855505
1020507	2.9545525	-1.0454475
1020524	2.923375	-1.076625
1020540	2.906999	-1.093001
1020557	2.92115	-1.07885
1020574	2.9417025	-1.0582975
1020590	2.925726	-1.074274
1020607	2.965064	-1.034936
1020624	2.9855395	-1.0144605
1020640	2.901478	-1.098522
1020657	2.865671	-1.134329
1020674	2.8115355	-1.1884645
1020690	2.849504	-1.150496
1020707	2.582078	-1.417922
1020724	2.538721	-1.461279
1020757	2.9523305	-1.0476695
1020774	2.8497	-1.1503
1020790	2.917074	-1.082926
1020807	2.8792255	-1.1207745
1020824	2.8459475	-1.1540525
1020840	2.948537	-1.051463
1020857	2.9718425	-1.0281575
1020873	2.8944365	-1.1055635
1020890	2.890984	-1.109016
1020907	2.935951	-1.064049
1020923	2.8883745	-1.1116255
1020940	2.949768	-1.050232
1020957	2.921269	-1.078731
1020973	2.9000785	-1.0999215
1020990	2.8726405	-1.1273595
1021007	2.8486585	-1.1513415
1021023	2.8805035	-1.1194965
1021040	2.9287685	-1.0712315
1021057	2.9296705	-1.0703295
1021073	2.9494475	-1.0505525
1021090	2.922844	-1.077156
1021107	2.939199	-1.060801
1021123	2.890008	-1.109992
1021140	2.649129	-1.350871
1021157	2.63176	-1.36824
1021190	2.829931	-1.170069
1021207	2.917663	-1.082337
1021223	2.828049	-1.171951
1021240	2.931075	-1.068925
1021257	2.9452415	-1.0547585
1021273	2.854498	-1.145502
1021290	2.92745	-1.07255
1021307	2.8059715	-1.1940285
1021323	2.891339	-1.108661
1021340	2.7910785	-1.2089215
1021357	2.818459	-1.181541
1021373	2.887789	-1.112211
1021390	2.8726835	-1.1273165
1021406	2.893872	-1.106128
1021423	2.877093	-1.122907
1021440	2.865262	-1.134738
1021456	2.888427	-1.111573
1021473	2.580917	-1.419083
1021490	2.614051	-1.385949
1021523	2.877859	-1.122141
1021540	2.900023	-1.099977
1021556	2.807487	-1.192513
1021573	2.7865395	-1.2134605
1021590	2.801678	-1.198322
1021606	2.831048	-1.168952
1021623	2.7643505	-1.2356495
1021640	2.8837835	-1.1162165
1021656	2.878857	-1.121143
1021673	2.87886	-1.12114
1021690	2.8429735	-1.1570265
1021706	2.9109845	-1.0890155
1021723	2.8793755	-1.1206245
1021740	2.893028	-1.106972
1021756	2.9244835	-1.0755165
1021773	2.911847	-1.088153
1021790	2.903859	-1.096141
1021806	2.574251	-1.425749
1021823	2.543222	-1.456778
1021856	2.7772055	-1.2227945
1021873	2.825025	-1.174975
1021890	2.732503	-1.267497
1021906	2.885218	-1.114782
1021923	2.842321	-1.157679
1021939	2.943921	-1.056079
1021956	2.938459	-1.061541
1021973	2.8488555	-1.1511445
1021989	2.94024	-1.05976
1022006	2.9275055	-1.0724945
1022023	2.9146995	-1.0853005
1022039	2.93288	-1.06712
1022056	2.9329575	-1.0670425
1022073	2.9195975	-1.0804025
1022089	2.452177	-1.547823
1022106	2.474655	-1.525345
1022139	2.939061	-1.060939
1022156	2.8966805	-1.1033195
1022173	2.803647	-1.196353
1022189	2.853623	-1.146377
1022206	2.823484	-1.176516
1022223	2.799031	-1.200969
1022239	2.8595395	-1.1404605
1022256	2.8941505	-1.1058495
1022273	2.899415	-1.100585
1022289	2.9707805	-1.0292195
1022306	2.829155	-1.170845
1022322	2.862757	-1.137243
1022339	2.304652	-1.695348
1022356	2.1733	-1.8267
1022389	2.877896	-1.122104
1022406	2.8874995	-1.1125005
1022422	2.777519	-1.222481
1022439	2.9199775	-1.0800225
1022456	2.813939	-1.186061
1022472	2.814904	-1.185096
1022489	2.8455755	-1.1544245
1022506	2.8630655	-1.1369345
1022522	2.8572155	-1.1427845
1022539	2.8338285	-1.1661715
1022556	2.8867415	-1.1132585
1022572	2.8616995	-1.1383005
1022589	2.53401	-1.46599
1022606	2.518892	-1.481108
1022639	2.764858	-1.235142
1022656	2.945994	-1.054006
1022955	2.598686	-1.401314
1023072	2.9059335	-1.0940665
1023089	2.9094885	-1.0905115
1023105	2.827701	-1.172299
1023122	2.8190365	-1.1809635
1023139	2.89341	-1.10659
1023155	2.9907625	-1.0092375
1023172	2.888616	-1.111384
1023189	2.8154225	-1.1845775
1023205	2.8209875	-1.1790125
1023222	2.806816	-1.193184
1023239	2.7346485	-1.2653515
1023255	2.7881775	-1.2118225
1023272	2.875017	-1.124983
1023288	2.8342875	-1.1657125
1023305	2.8083135	-1.1916865
1023322	2.811655	-1.188345
1023338	2.8041535	-1.1958465
1023355	2.782618	-1.217382
1023372	2.26351	-1.73649
1023388	2.658867	-1.341133
1023405	2.55148	-1.44852
1023422	2.844317	-1.155683
1023438	2.8122865	-1.1877135
1023455	2.694773	-1.305227
1023472	2.824086	-1.175914
1023488	2.810617	-1.189383
1023505	2.814643	-1.185357
1023522	2.8100875	-1.1899125
1023538	2.809656	-1.190344
1023555	2.8133265	-1.1866735
1023572	2.799304	-1.200696
1023588	2.80408	-1.19592
1023605	2.825307	-1.174693
1023622	2.8091355	-1.1908645
1023638	2.7913435	-1.2086565
1023655	2.792112	-1.207888
1023672	2.803996	-1.196004
1023688	2.7883825	-1.2116175
1023705	2.76841	-1.23159
1023722	2.8265465	-1.1734535
1023738	2.8309435	-1.1690565
1023755	2.8440295	-1.1559705
1023772	2.8495475	-1.1504525
1023788	2.830608	-1.169392
1023805	2.854983	-1.145017
1023821	2.8171115	-1.1828885
1023838	2.821539	-1.178461
1023855	2.850712	-1.149288
1023871	2.831195	-1.168805
1023888	2.841859	-1.158141
1023921	2.8118005	-1.1881995
1023938	2.830015	-1.169985
1023955	2.8694965	-1.1305035
1023971	2.8416425	-1.1583575
1023988	2.849275	-1.150725
1024005	2.8528945	-1.1471055
1024021	2.8541165	-1.1458835
1024038	2.842332	-1.157668
1024055	2.8714365	-1.1285635
1024071	2.8543365	-1.1456635
1024088	2.876516	-1.123484
1024105	2.8440545	-1.1559455
1024121	2.866712	-1.133288
1024138	2.8712825	-1.1287175
1024155	2.872795	-1.127205
1024171	2.8663035	-1.1336965
1024188	2.9131385	-1.0868615
1024205	2.877483	-1.122517
1024221	2.898183	-1.101817
1024238	2.812607	-1.187393
1024255	2.8277765	-1.1722235
1024271	2.755647	-1.244353
1024288	2.84183	-1.15817
1024305	2.792764	-1.207236
1024321	2.811041	-1.188959
1024338	2.806961	-1.193039
1024354	2.7993565	-1.2006435
1024371	2.7962355	-1.2037645
1024388	2.7826135	-1.2173865
1024404	2.7951675	-1.2048325
1024421	2.8912965	-1.1087035
1024438	2.8086425	-1.1913575
1024454	2.78153	-1.21847
1024471	2.8018865	-1.1981135
1024488	2.7895035	-1.2104965
1024504	2.897561	-1.102439
1024521	2.9284585	-1.0715415
1024538	2.8982135	-1.1017865
1024554	2.9231095	-1.0768905
1024571	2.9447855	-1.0552145
1024588	2.917369	-1.082631
1024604	2.76101	-1.23899
1024621	2.911486	-1.088514
1024654	2.914163	-1.085837
1024671	2.9307395	-1.0692605
1024688	2.933476	-1.066524
1024704	2.906688	-1.093312
1024721	2.852209	-1.147791
1024738	2.8406895	-1.1593105
1024754	2.820751	-1.179249
1024771	2.825537	-1.174463
1024788	2.877395	-1.122605
1024804	2.861903	-1.138097
1024821	2.490026	-1.509974
1024838	2.57596	-1.42404
1024871	2.815357	-1.184643
1024887	2.8924695	-1.1075305
1024904	2.9278305	-1.0721695
1024921	2.871467	-1.128533
1024937	2.8307555	-1.1692445
1024954	2.8706315	-1.1293685
1024971	2.878017	-1.121983
1024987	2.377302	-1.622698
1025004	2.300039	-1.699961
1025037	2.8760395	-1.1239605
1025054	2.8954405	-1.1045595
1025071	2.889866	-1.110134
1025087	2.858989	-1.141011
1025104	2.8958035	-1.1041965
1025121	2.8471115	-1.1528885
1025137	2.8924355	-1.1075645
1025154	2.8650505	-1.1349495
1025171	2.801892	-1.198108
1025187	2.8488565	-1.1511435
1025204	2.9357265	-1.0642735
1025221	2.922402	-1.077598
1025237	2.887627	-1.112373
1025254	2.8406935	-1.1593065
1025271	2.7371735	-1.2628265
1025287	2.9289065	-1.0710935
1025304	2.9169815	-1.0830185
1025321	2.9123185	-1.0876815
1025337	2.882908	-1.117092
1025354	2.800521	-1.199479
1025371	2.77386	-1.22614
1025404	2.878025	-1.121975
1025420	2.9387855	-1.0612145
1025437	2.889295	-1.110705
1025454	2.8888235	-1.1111765
1025470	2.8938295	-1.1061705
1025487	2.8944615	-1.1055385
1025504	2.962866	-1.037134
1025520	2.9172705	-1.0827295
1025537	2.8631895	-1.1368105
1025554	2.922017	-1.077983
1025570	2.878271	-1.121729
1025587	2.8881205	-1.1118795
1025604	2.8998545	-1.1001455
1025620	2.8966085	-1.1033915
1025637	2.891915	-1.108085
1025654	2.91874	-1.08126
1025670	2.9187165	-1.0812835
1025687	2.932041	-1.067959
1025704	2.9083685	-1.0916315
1025720	2.9307505	-1.0692495
1025737	2.909619	-1.090381
1025753	2.946736	-1.053264
1025770	2.942782	-1.057218
1025787	2.872311	-1.127689
1025804	2.920752	-1.079248
1025820	2.960278	-1.039722
1025837	2.891014	-1.108986
1026120	2.9581375	-1.0418625
1026137	2.917672	-1.082328
1026153	2.983977	-1.016023
1026170	2.936967	-1.063033
1026187	2.895485	-1.104515
1026203	2.947379	-1.052621
1026220	2.922792	-1.077208
1026237	2.9248915	-1.0751085
1026253	2.9464115	-1.0535885
1026270	2.936292	-1.063708
1026286	2.9221255	-1.0778745
1026303	2.9347995	-1.0652005
1026320	2.911453	-1.088547
1026336	2.979383	-1.020617
1026353	2.9742735	-1.0257265
1026370	2.9811615	-1.0188385
1026386	2.9867685	-1.0132315
1026403	3.0386735	-0.9613265
1026420	3.016479	-0.983521
1026436	3.018188	-0.981812
1026453	2.9980555	-1.0019445
1026470	3.010056	-0.989944
1026486	2.9831635	-1.0168365
1026503	2.981285	-1.018715
1026520	2.97673	-1.02327
1026536	2.963826	-1.036174
1026553	2.986871	-1.013129
1026570	2.992964	-1.007036
1026586	2.980352	-1.019648
1026603	3.011835	-0.988165
1026620	2.857766	-1.142234
1026686	2.956075	-1.043925
1026703	2.964181	-1.035819
1026720	3.027313	-0.972687
1026736	2.996415	-1.003585
1026753	2.9505535	-1.0494465
1026770	2.9297805	-1.0702195
1026953	2.936106	-1.063894
1026969	2.7596575	-1.2403425
1026986	2.7638515	-1.2361485
1027003	2.751696	-1.248304
1027019	2.941569	-1.058431
1027036	2.9226405	-1.0773595
1027053	2.9332445	-1.0667555
1027069	2.899472	-1.100528
1027086	2.923125	-1.076875
1027103	2.931289	-1.068711
1027119	2.9511565	-1.0488435
1027136	2.9506285	-1.0493715
1027153	2.948861	-1.051139
1027169	2.953972	-1.046028
1027186	2.9788455	-1.0211545
1027203	2.9606215	-1.0393785
1027219	2.955925	-1.044075
1027236	2.967258	-1.032742
1027253	2.9735375	-1.0264625
1027269	2.9628105	-1.0371895
1027286	2.9982645	-1.0017355
1027303	2.9872305	-1.0127695
1027319	2.9795825	-1.0204175
1027336	2.96811	-1.03189
1027352	2.964118	-1.035882
1027369	2.939975	-1.060025
1027386	2.9456925	-1.0543075
1027402	2.9336905	-1.0663095
1027419	2.911304	-1.088696
1027436	2.9531555	-1.0468445
1027452	2.976117	-1.023883
1027469	2.998281	-1.001719
1027502	2.930772	-1.069228
1027519	2.94566	-1.05434
1027536	2.9422565	-1.0577435
1027552	2.9447175	-1.0552825
1027569	2.912933	-1.087067
1027586	2.9384995	-1.0615005
1027602	2.950952	-1.049048
1027619	2.9402125	-1.0597875
1027636	2.9167055	-1.0832945
